Wavelength (micron)  Background (photon/sec/pixel)
       2.0941041       7.7203343
       2.0943210       7.2281312
       2.0945380       6.9579479
       2.0947552       6.9542252
       2.0949721       6.9702537
       2.0951891       6.8895611
       2.0954061       6.7991819
       2.0956230       6.7515106
       2.0958400       6.6913985
       2.0960569       6.5907789
       2.0962741       6.4913908
       2.0964911       6.4254595
       2.0967081       6.3882883
       2.0969250       6.3659438
       2.0971420       6.3565188
       2.0973589       6.3518707
       2.0975761       6.3272774
       2.0977931       6.3004711
       2.0980101       6.3159031
       2.0982270       6.3847178
       2.0984440       6.4845086
       2.0986609       6.5318661
       2.0988781       6.4482244
       2.0990951       6.2796305
       2.0993121       6.1431727
       2.0995290       6.1514129
       2.0997460       6.4978992
       2.0999629       7.4919308
       2.1001801       9.2471476
       2.1003971       11.394040
       2.1006141       13.644591
       2.1008310       16.333939
       2.1010480       19.447960
       2.1012650       21.762312
       2.1014822       22.296082
       2.1016991       21.683368
       2.1019161       21.124389
       2.1021330       21.254070
       2.1023500       22.187262
       2.1025670       23.777168
       2.1027842       26.418332
       2.1030011       30.381127
       2.1032181       33.408634
       2.1034350       31.927386
       2.1036520       25.843719
       2.1038690       19.104430
       2.1040859       14.924933
       2.1043031       13.150994
       2.1045201       12.569953
       2.1047370       13.301400
       2.1049540       15.890744
       2.1051710       19.517415
       2.1053879       23.374137
       2.1056051       29.811666
       2.1058221       42.250774
       2.1060390       58.926324
       2.1062560       73.340988
       2.1064730       81.023889
       2.1066899       80.811259
       2.1069071       72.066008
       2.1071241       56.358852
       2.1073411       39.324131
       2.1075580       26.324434
       2.1077750       18.138670
       2.1079919       13.149804
       2.1082091       10.826324
       2.1084261       11.660481
       2.1086431       15.579061
       2.1088600       21.595574
       2.1090770       29.087242
       2.1092939       37.799349
       2.1095111       45.665249
       2.1097281       50.483667
       2.1099451       55.317336
       2.1101620       65.735138
       2.1103790       79.195954
       2.1105959       84.822077
       2.1108131       79.248517
       2.1110301       75.470761
       2.1112471       85.937278
       2.1114640       101.46239
       2.1116810       99.894441
       2.1118979       74.817602
       2.1121151       42.454378
       2.1123321       20.388522
       2.1125491       11.355867
       2.1127660       9.0719020
       2.1129830       8.5002444
       2.1131999       8.0651454
       2.1134171       7.6952036
       2.1136341       7.4939240
       2.1138511       7.3929416
       2.1140680       7.2743782
       2.1142850       7.1733608
       2.1145020       7.4264672
       2.1147192       9.2109071
       2.1149361       15.191575
       2.1151531       27.550583
       2.1153700       42.839566
       2.1155870       51.415448
       2.1158040       46.477674
       2.1160212       32.087325
       2.1162381       18.488771
       2.1164551       11.587449
       2.1166720       12.153282
       2.1168890       24.015583
       2.1171060       55.693594
       2.1173229       105.42580
       2.1175401       147.69246
       2.1177571       151.51019
       2.1179740       115.32331
       2.1181910       67.815810
       2.1184080       35.105275
       2.1186252       21.261013
       2.1188421       18.438780
       2.1190591       19.816492
       2.1192760       21.278259
       2.1194930       20.381870
       2.1197100       17.355172
       2.1199269       14.616345
       2.1201441       14.018929
       2.1203611       14.989695
       2.1205781       15.752524
       2.1207950       15.693638
       2.1210120       15.606502
       2.1212292       16.137113
       2.1214461       16.987516
       2.1216631       17.313020
       2.1218801       16.400708
       2.1220970       14.573288
       2.1223140       14.131494
       2.1225309       19.683945
       2.1227481       35.238594
       2.1229651       56.939069
       2.1231821       71.246803
       2.1233990       66.747466
       2.1236160       47.254026
       2.1238332       27.742970
       2.1240501       21.121871
       2.1242671       35.567000
       2.1244841       75.084756
       2.1247010       126.64503
       2.1249180       156.78431
       2.1251349       141.20009
       2.1253521       92.797053
       2.1255691       45.968155
       2.1257861       19.874380
       2.1260030       10.722747
       2.1262200       8.5563020
       2.1264369       8.1073934
       2.1266541       8.0137787
       2.1268711       8.3647335
       2.1270881       10.209699
       2.1273050       15.240524
       2.1275220       23.679749
       2.1277390       31.859495
       2.1279562       34.136063
       2.1281731       28.728982
       2.1283901       19.901598
       2.1286070       13.253988
       2.1288240       10.684015
       2.1290410       10.518840
       2.1292582       10.521425
       2.1294751       9.8043272
       2.1296921       8.7551389
       2.1299090       7.9893697
       2.1301260       7.6936461
       2.1303430       7.7674014
       2.1305602       8.2165398
       2.1307771       9.7164094
       2.1309941       14.168266
       2.1312110       23.401483
       2.1314280       36.050168
       2.1316450       47.308443
       2.1318622       54.134547
       2.1320791       59.388507
       2.1322961       66.343830
       2.1325130       70.200311
       2.1327300       62.619385
       2.1329470       44.261780
       2.1331639       25.330872
       2.1333811       13.771680
       2.1335981       9.3260753
       2.1338151       8.2103917
       2.1340320       8.0602920
       2.1342490       8.1652317
       2.1344662       8.4066925
       2.1346831       8.9866331
       2.1349001       10.467606
       2.1351171       13.169689
       2.1353340       16.357935
       2.1355510       18.602580
       2.1357679       18.912673
       2.1359851       17.229629
       2.1362021       14.395416
       2.1364191       11.988458
       2.1366360       11.610393
       2.1368530       13.646838
       2.1370699       16.673963
       2.1372871       18.604252
       2.1375041       18.728850
       2.1377211       18.007881
       2.1379380       17.098402
       2.1381550       15.472441
       2.1383719       12.931772
       2.1385889       10.457706
       2.1388061       8.9826690
       2.1390231       8.4482035
       2.1392400       8.3930122
       2.1394570       8.6437812
       2.1396739       9.0230938
       2.1398911       9.0516258
       2.1401081       8.5775130
       2.1403251       8.0727495
       2.1405420       7.9082745
       2.1407590       8.0085685
       2.1409760       8.2436993
       2.1411929       8.6630244
       2.1414101       9.3878283
       2.1416271       10.395742
       2.1418440       11.379035
       2.1420610       11.897572
       2.1422780       11.715782
       2.1424952       10.992829
       2.1427121       10.204838
